date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:47	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:47%20GMT	http://www.peinture-delemer.fr/revetements-muraux-mont-saint-aignan-76130	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-muraux-mont-saint-aignan-76130	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:48	78974/78974	---M-Z	200	added ('OK')	text/html	etag:W/%229c3f35a51ffbafa27a1b4ba4c4179090%22	https://www.peinture-delemer.fr/revetements-muraux-mont-saint-aignan-76130	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-muraux-mont-saint-aignan-76130.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:48	139/139	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:48%20GMT	http://www.peinture-delemer.fr/revetements-muraux-le-mesnil-esnard-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-muraux-le-mesnil-esnard-76240	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:49	78914/78914	---M-Z	200	added ('OK')	text/html	etag:W/%224aabb05e4297c5fbf8600c2e48a2101d%22	https://www.peinture-delemer.fr/revetements-muraux-le-mesnil-esnard-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-muraux-le-mesnil-esnard-76240.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:49	137/137	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:48%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-bonsecours-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-bonsecours-76240	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:50	78942/78942	---M-Z	200	added ('OK')	text/html	etag:W/%22a51204fb9acbbbe109d91dabc8747f95%22	https://www.peinture-delemer.fr/revetements-exterieurs-bonsecours-76240	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-bonsecours-76240.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:50	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:50%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-bihorel-76420	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-bihorel-76420	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:50	78484/78484	---M-Z	200	added ('OK')	text/html	etag:W/%220f1b87a6290d8220923f496cbd0a5815%22	https://www.peinture-delemer.fr/revetements-exterieurs-bihorel-76420	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-bihorel-76420.html	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:50	135/135	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2019:22:50%20GMT	http://www.peinture-delemer.fr/revetements-exterieurs-darnetal-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-darnetal-76160	(from https://www.peinture-delemer.fr/plan-du-site)
21:22:51	78725/78725	---M-Z	200	added ('OK')	text/html	etag:W/%22f0007708536e954a9ddc009f511291ef%22	https://www.peinture-delemer.fr/revetements-exterieurs-darnetal-76160	C:/Users/Tobi/Desktop/Nouveau%20dossier/sdfsfsf/www.peinture-delemer.fr/revetements-exterieurs-darnetal-76160.html	(from https://www.peinture-delemer.fr/plan-du-site)
